x1,y1,x2,y2,dx,dy,magnitude,angle_deg
191.0000,1962.0000,195.6898,1962.9158,4.6898,0.9158,4.7784,11.0491
505.0000,1976.0000,507.5762,1976.8146,2.5762,0.8146,2.7019,17.5464
2794.0000,2063.0000,2798.6965,2064.0559,4.6965,1.0559,4.8138,12.6710
2158.0000,2169.0000,2159.3057,2168.7178,1.3057,-0.2822,1.3358,-12.1971
999.0000,1775.0000,1002.8929,1777.4437,3.8929,2.4437,4.5963,32.1182
1026.0000,2304.0000,1027.2719,2304.0969,1.2719,0.0969,1.2755,4.3579
1138.0000,1846.0000,1135.7698,1848.3162,-2.2302,2.3162,3.2154,133.9171
882.0000,1806.0000,891.0535,1804.9476,9.0535,-1.0524,9.1145,-6.6302
277.0000,2028.0000,279.8047,2028.1843,2.8047,0.1843,2.8108,3.7601
2059.0000,2921.0000,2059.1138,2920.7722,0.1138,-0.2278,0.2546,-63.4595
2496.0000,1627.0000,2508.6494,1625.5701,12.6494,-1.4299,12.7300,-6.4495
2487.0000,2047.0000,2495.4988,2048.2700,8.4988,1.2700,8.5931,8.4991
127.0000,1882.0000,131.3305,1882.3484,4.3305,0.3484,4.3445,4.5995
1061.0000,2838.0000,1061.5120,2838.1636,0.5120,0.1636,0.5375,17.7189
1665.0000,2317.0000,1666.1409,2316.7358,1.1409,-0.2642,1.1711,-13.0367
2766.0000,2184.0000,2766.6597,2183.3044,0.6597,-0.6956,0.9586,-46.5169
2983.0000,1619.0000,2992.3926,1620.8557,9.3926,1.8557,9.5741,11.1761
1999.0000,1057.0000,2000.3914,1057.5696,1.3914,0.5696,1.5034,22.2627
1097.0000,1872.0000,1100.3409,1871.8654,3.3409,-0.1346,3.3437,-2.3078
3962.0000,2202.0000,3965.1387,2203.0823,3.1387,1.0823,3.3200,19.0252
1227.0000,1898.0000,1232.7780,1897.9580,5.7780,-0.0420,5.7781,-0.4164
354.0000,1970.0000,356.2581,1970.2057,2.2581,0.2057,2.2675,5.2046
975.0000,1845.0000,979.4352,1844.6404,4.4352,-0.3596,4.4497,-4.6356
4260.0000,2184.0000,4262.8105,2183.9846,2.8105,-0.0154,2.8106,-0.3136
311.0000,1803.0000,317.3345,1804.7509,6.3345,1.7509,6.5720,15.4509
3183.0000,1689.0000,3191.2563,1688.6371,8.2563,-0.3629,8.2643,-2.5169
2409.0000,261.0000,2408.7866,261.6572,-0.2134,0.6572,0.6910,107.9868
3975.0000,1699.0000,3987.1506,1699.3298,12.1506,0.3298,12.1551,1.5549
203.0000,2041.0000,206.9328,2041.8561,3.9328,0.8561,4.0249,12.2802
950.0000,1716.0000,953.0248,1715.9476,3.0248,-0.0524,3.0252,-0.9919
431.0000,2346.0000,433.3006,2346.8953,2.3006,0.8953,2.4687,21.2632
1321.0000,1664.0000,1331.1721,1663.3325,10.1721,-0.6675,10.1940,-3.7543
1571.0000,2036.0000,1571.1797,2035.7010,0.1797,-0.2990,0.3488,-58.9915
84.0000,2083.0000,86.2605,2083.2827,2.2605,0.2827,2.2781,7.1288
2342.0000,2044.0000,2345.5759,2044.8182,3.5759,0.8182,3.6683,12.8884
754.0000,1861.0000,758.9586,1861.2506,4.9586,0.2506,4.9649,2.8933
